text,label
Halo,greet
Hai,greet
Selamat pagi,greet
Pagi selamat,greet
Selamat,greet
Selamat siang,greet
Siang selamat,greet
Selamat sore,greet
Sore selamat,greet
Selamat malam,greet
Malam selamat,greet
Ping,greet
P,greet
Assalamualaikum,greet
Halo bot,greet
Bot halo,greet
Hai chatbot,greet
Chatbot hai,greet
Chatbot,greet
Permisi,greet
Test,greet
Hai Jelajahi,greet
Jelajahi hai,greet
Jelajahi,greet
Halo admin,greet
Admin halo,greet
Admin,greet
Ada orang?,greet
Orang ada?,greet
Ada?,greet
Bot,greet
Hi,greet
Pagi,greet
Siang,greet
Sore,greet
Malam,greet
Halo aplikasi,greet
Aplikasi halo,greet
Hai teman,greet
Teman hai,greet
Teman,greet
Salam kenal,greet
Kenal salam,greet
Salam,greet
Bisa bantu saya?,greet
Bantu?,greet
Halo ada yang bisa dibantu?,greet
Halo ada dibantu yang bisa?,greet
Ada yang bisa?,greet
Test bot,greet
Bot test,greet
Cek,greet
Hai aplikasi Jelajahi,greet
Aplikasi hai Jelajahi,greet
Aplikasi Jelajahi,greet
Haii,greet
Halooo,greet
Selamat datang,greet
Datang selamat,greet
Bot pariwisata,greet
Pariwisata bot,greet
Hai admin,greet
Admin hai,greet
Woy,greet
Halo Palembang,greet
Palembang halo,greet
Palembang,greet
Hai bot Palembang,greet
Hai Palembang bot,greet
Hai bot,greet
Assalamualaikum admin,greet
Admin assalamualaikum,greet
Syalom,greet
Om swastiastu,greet
Swastiastu om,greet
Om,greet
Namo buddhaya,greet
Buddhaya namo,greet
Namo,greet
Halo sistem,greet
Sistem halo,greet
Sistem,greet
Bot aktif?,greet
Aktif bot?,greet
Bot?,greet
Halo aplikasi wisata,greet
Halo wisata aplikasi,greet
Halo wisata,greet
Selamat pagi bot,greet
Pagi selamat bot,greet
Selamat bot,greet
Selamat siang admin,greet
Selamat admin siang,greet
Selamat admin,greet
Hai program,greet
Program hai,greet
Halo AI,greet
AI halo,greet
Rekomendasikan tempat wisata di Palembang,ask_recommendation
Rekomendasikan di tempat wisata Palembang,ask_recommendation
Tempat wisata Palembang,ask_recommendation
Tempat yang wajib dikunjungi apa saja?,ask_recommendation
Tempat wajib apa yang dikunjungi saja?,ask_recommendation
Yang apa saja?,ask_recommendation
Ada rekomendasi destinasi buat keluarga?,ask_recommendation
Ada rekomendasi destinasi? buat keluarga,ask_recommendation
Ada rekomendasi buat?,ask_recommendation
Kasih rekomendasi tempat jalan-jalan yang bagus dong,ask_recommendation
Rekomendasi jalan kasih tempat - jalan yang bagus dong,ask_recommendation
Rekomendasi tempat jalan - jalan bagus,ask_recommendation
