text,label
Kak Rute ke Ampera gimana?,ask_location_access
Bang kapan Hutan Wisata Punti Kayu buka? dong,ask_operating_hours
Halo Fasilitas Al-Munawar lengkap gak ya kak,ask_facilities
Permisi Ada fasilitas apa di Kambang Iwak,ask_facilities
I want to know What's the ticket price for Museum Sultan Mahmud Badaruddin II? please,ask_ticket_price
Min saran tempat wisata di palembang? dong kak,ask_recommendation
Eh mau ke tempat yang unik dan sepi dong kak,ask_hidden_gems
Halo Bisa rekomendasikan tempat wisata deh,ask_recommendation
Min Ke Kemaro bayar berapa ya? dong,ask_ticket_price
Please do i need to pay to enter Kampung Kapitan? thanks,ask_ticket_price
Thanks,goodbye
Kak bayar berapa kalo masuk Amanzi Waterpark? nih,ask_ticket_price
Mau ke KI bayar berapa?,ask_ticket_price
Bang Nice dong kak,provide_feedback
Al Quran Al Akbar ada area bermain anak?,ask_facilities
Kak Wisata accessible by LRT? deh,ask_lrt_destinations
Eh Kak mau tanya ya,greet
Mau tanya fasilitas di Masjid Cheng Ho? deh,ask_facilities
Kak Ada hidden gems gak di Palembang ya,ask_hidden_gems
Sekarang masih buka?,ask_operating_hours
Permisi Ada fasilitas apa dong,ask_facilities
Maaf mau tanya Info fasilitas Kawah Tengkurep dong?,ask_facilities
Bismillah mau tanya? dong kak,greet
Permisi Test?,greet
Selamat siang,greet
Dari mana ke Fantasy Island?,ask_location_access
Maaf mau tanya Bismillah mau tanya sih,greet
Permisi Kayak apa sih Siguntang nih,ask_destination_info
Good answer,provide_feedback
Halo Wisata malam di Palembang kemana? dong,ask_recommendation
Min Chatbot nya bagus? ya,provide_feedback
Min Tourist spots along LRT route? sih,ask_lrt_destinations
Maaf mau tanya Masjid Agung Palembang gratis gak sih? dong,ask_ticket_price
Eh Sip terima kasih kak sih,goodbye
Kenapa KI terkenal?,ask_destination_info
I want to know What destinations are accessible by LRT? please,ask_lrt_destinations
Hey How to cook an egg??,ask_unrelated
Maaf mau tanya mau liburan di palembang kemana ya? sih,ask_recommendation
Eh Assalamualaikum bye? dong kak,goodbye
Bang oke sip ya,provide_feedback
Halo Tips perawatan kulit? deh,ask_unrelated
"Min Hi, I'd like to ask something? dong kak",greet
Kak Cara bikin cuko pempek,ask_unrelated
Maaf mau tanya Oke noted terima kasih banyak kak,goodbye
Kasih tau dong tentang SMB,ask_destination_info
Min siapa yang bikin kamu? sih,ask_unrelated
Halo Best places to visit by LRT? dong,ask_lrt_destinations
Eh Taman Kebon Rojo ramah anak gak? dong kak,ask_facilities
OK bye,goodbye
Mau nanya dong flight tickets to bali? ya kak,ask_unrelated
Bang Tempat wisata yang jarang dikunjungi di Palembang deh,ask_hidden_gems
Min posisi Masjid Agung Palembang dimana ya? deh,ask_location_access
Min Ada tempat wisata baru di Palembang deh,ask_hidden_gems
Ada mushola di Pulau Kemaro deh,ask_facilities
Kak Posisi Kambang Iwak dimana ya? ya kak,ask_location_access
Kak Halo TanyaKito ya kak,greet
Can you tell me What does it cost to visit SMB II Island?,ask_ticket_price
Maaf mau tanya Jawaban yang memuaskan? dong,provide_feedback
Info wisata budaya Palembang dong,ask_category
Hey What to see in Palembang please,ask_recommendation
Min Thanks a lot nih,goodbye
OPI Mall ada area bermain anak?,ask_facilities
Halo Membantu banget,provide_feedback
Keren banget infonya,provide_feedback
Can you tell me Thank you for the information? please,goodbye
Min apakah Museum Balaputra Dewa gratis? nih,ask_ticket_price
Permisi apa Palembang Icon bayar? nih,ask_ticket_price
wisata gratis di palembang ada gak? sih,ask_recommendation
Eh Jam tutup Taman Kambang Iwak Besak kapan? sih,ask_operating_hours
Berapa duit masuk Taman Kambang Iwak Besak?,ask_ticket_price
Kak Jam buka Masjid Agung Palembang kapan sih,ask_operating_hours
Min Great info deh,provide_feedback
How much to get into Punti Kayu Forest?,ask_ticket_price
LRT berhenti dekat wisata mana? ya,ask_lrt_destinations
Permisi Apa aja fasilitas di sana ya,ask_facilities
Kampung Kapitan ada tempat parkir?,ask_facilities
Kak Tourist recommendations for Palembang dong,ask_recommendation
Kak destinasi wisata lrt palembang? ya kak,ask_lrt_destinations
Bang Kapan sih SMB II buka?,ask_operating_hours
Lokasi Palembang Trade Center dimana kak?,ask_location_access
Mau cari wisata budaya di Palembang,ask_category
Maaf mau tanya What makes Kemaro unique sih,ask_destination_info
Kak wisata wisata sejarah di palembang apa aja? ya,ask_category
"Kak hi, planning to visit palembang dong kak",greet
Dari jam berapa BKB buka?,ask_operating_hours
Infonya oke banget? sih,provide_feedback
Siguntang di mana ya?,ask_location_access
Eh Jadwal sholat hari ini dong,ask_unrelated
Berapa ya tiketnya?,ask_ticket_price
Maaf mau tanya Mau ke Amanzi lewat mana,ask_location_access
history of Taman Kebon Rojo island? nih,ask_destination_info
Bang is Jakabaring Sport City bridge child-friendly? dong,ask_facilities
Mau nanya dong Kambang Iwak itu apa? sih,ask_destination_info
Hlo,greet
Hi bot,greet
Kak Weekend KI buka,ask_operating_hours
Min Berapa biaya masuk ke Benteng Kuto Besak? ya kak,ask_ticket_price
Maaf mau tanya wisata weekend di palembang? nih,ask_recommendation
Wisata Palembang yang populer apa ya kak,ask_recommendation
Weekday SMB II buka jam berapa?,ask_operating_hours
local favorites in palembang?,ask_hidden_gems
Kampung Kapitan itu apa?,ask_destination_info
Python atau Java lebih bagus?,ask_unrelated
Permisi Kambang Iwak ramah anak gak ya,ask_facilities
Kak kak ada hidden gems gak? ya kak,ask_hidden_gems
Halo yang termasuk taman apa aja? nih,ask_category
