text,label
Halo,greet
Hai,greet
Selamat pagi,greet
Selamat siang,greet
Selamat sore,greet
Selamat malam,greet
Ping,greet
P,greet
Assalamualaikum,greet
Halo bot,greet
Hai chatbot,greet
Permisi,greet
Test,greet
Hi,greet
Pagi,greet
Siang,greet
Sore,greet
Malam,greet
Halo aplikasi,greet
Salam kenal,greet
Bisa bantu saya?,greet
Halo ada yang bisa dibantu?,greet
Test bot,greet
Cek,greet
Bot,greet
Ada orang?,greet
Waalaikumsalam,greet
Permisi mau tanya,greet
Halo mau nanya dong,greet
Hay,greet
Haloo,greet
Halloo,greet
Haii,greet
Heyy,greet
Hey,greet
Hai TanyaKito,greet
Halo TanyaKito,greet
Oi,greet
Woi,greet
Misi,greet
Misi mau tanya,greet
Kak mau tanya,greet
Bang mau nanya,greet
Min mau tanya,greet
Selamat datang,greet
Halo selamat pagi,greet
Hai selamat siang,greet
Pagi kak,greet
Siang kak,greet
Sore kak,greet
Malam kak,greet
Tes tes,greet
1 2 3 test,greet
Maaf mau tanya,greet
Kak,greet
Bang,greet
Numpang tanya dong,greet
Mau tanya nih,greet
Boleh tanya?,greet
Tanya dong,greet
Mau nanya dong,greet
Misi nanya dong,greet
Halo saya mau bertanya,greet
Permisi saya ingin bertanya,greet
Hai boleh tanya?,greet
Halo bisa tanya sesuatu?,greet
Halo apakah ada yang bisa bantu?,greet
Hai mau konsultasi dong,greet
Hello mau tanya,greet
Hay mau nanya,greet
Halo ada admin?,greet
Halo siapa di sini?,greet
Ada yang aktif?,greet
Bot aktif?,greet
Halo apakah botnya aktif?,greet
Hai masih aktif?,greet
Pagi min,greet
Siang min,greet
Sore min,greet
Malam min,greet
Assalamualaikum kak,greet
Assalamualaikum min,greet
Assalamualaikum mau tanya,greet
Bismillah mau tanya,greet
Halo saya turis,greet
Hai saya wisatawan,greet
Halo saya pengunjung baru,greet
Hai saya pertama kali ke Palembang,greet
Halo saya dari Jakarta mau tanya,greet
Hai saya baru ke Palembang,greet
Permisi saya mau jalan-jalan di Palembang,greet
Halo mau keliling Palembang nih,greet
Hello,greet
Good morning,greet
Good afternoon,greet
Good evening,greet
Hi there,greet
Hey there,greet
Hello bot,greet
Hi chatbot,greet
Hello there,greet
Greetings,greet
Howdy,greet
What's up,greet
Yo,greet
Sup,greet
"Hi, can you help me?",greet
"Hello, I need help",greet
"Hey, anyone there?",greet
"Hi, I'm visiting Palembang",greet
"Hello, I'm a tourist",greet
"Hi, first time in Palembang",greet
Hello TanyaKito,greet
"Good morning, I have a question",greet
"Hi, I'd like to ask something",greet
"Hello, is anyone available?",greet
"Hey, can I ask a question?",greet
