text,label
itu tempat BKB bukan nongkrong sih?,ask_destination_info
Naik LRT ke Benteng Kuto Besak turun dimana?,ask_lrt_destinations
Info harga tiket wisata sejarah,ask_ticket_price
Buka waktu Jakabaring City Sport,ask_operating_hours
Want to go around Palembang by LRT what are the destinations?,ask_lrt_destinations
Tourist spots suitable for young people,ask_recommendation
Berapa HTM ke Monpera?,ask_ticket_price
How to access this destination,ask_location_access
A good coffee shop,ask_category
Tolong info tarif masuk,ask_ticket_price
Jelaskan latar belakang - Qur ' Al -,ask_destination_info
Address complete of SMB Museum II,ask_location_access
Like this,provide_feedback
Thank Jelajahi you,goodbye
How go to the,ask_location_access
Is famous meatball place?,ask_category
Tempat Palembang LRT,ask_lrt_destinations
Kapan tempat ini mulai buka?,ask_operating_hours
Suitable places for alone being,ask_hidden_gems
Helpful very for getting Palembang around,provide_feedback
Rekomendasi spot tersembunyi,ask_hidden_gems
Hello friend,greet
Info tolong masuk tarif,ask_ticket_price
itu nongkrong bukan?,ask_destination_info
Rute LRT yang melewati tempat bersejarah,ask_lrt_destinations
Historical tourism category,ask_category
Suka dengan bahasanya fitur terjemahan,provide_feedback
Tell me about Siguntang Hill,ask_destination_info
Cara ke sana dari pusat kota,ask_location_access
Recommend a place,ask_recommendation
What is the earliest operating hour?,ask_operating_hours
Rekomendasi tempat makan mie ayam,ask_category
Di ada penyewaan sepeda Kambang Iwak?,ask_facilities
Destinasi wisata yang jarang dikunjungi turis,ask_hidden_gems
LRT stations near tourist spots,ask_lrt_destinations
Tempat ini mulai?,ask_operating_hours
Really like the dark mode feature,provide_feedback
App is very user -,provide_feedback
Thanks bot,goodbye
Jam berapa buka tiketnya?,ask_operating_hours
Opening the hours is information fitting very,provide_feedback
Please info the entrance tariff,ask_ticket_price
Tiket masuk dewasa,ask_ticket_price
Informasi harga tiketnya sangat akurat,provide_feedback
Recreation supporting facilities,ask_facilities
Salam,greet
Entrance access the to spot tourist,ask_location_access
Masuk tarif untuk asing turis,ask_ticket_price
History of Monpera.,ask_destination_info
Public facilities - Akbar Giant Quran,ask_facilities
Easy access to Palembang tourism LRT with,ask_lrt_destinations
Entrance latest info fee,ask_ticket_price
Easy way to get there,ask_location_access
How much is ticket enter?,ask_ticket_price
"Infonya lengkap sip, makasih",goodbye
List of and athletic,ask_category
Is Museum like?,ask_destination_info
Alamat lengkap Museum SMB II,ask_location_access
LRT access to Punti Kayu,ask_lrt_destinations
Where is the location of Jakabaring Sport City?,ask_location_access
Apa ada saja di? sekitar Monpera,ask_destination_info
Kampung.,ask_destination_info
Hal apa seru bisa yang dilakukan di Punti? Kayu,ask_destination_info
Yang bagus aplikasi untuk turis,provide_feedback
Info biaya fasilitas,ask_ticket_price
Membantu terima,goodbye
Rincian masuk wisata biaya,ask_ticket_price
From route the station train,ask_location_access
Tiket paling harga murah,ask_ticket_price
Wisata Bukit info Siguntang.,ask_destination_info
Program,greet
Wisata kategori sejarah,ask_category
Nice to,greet
Penjelasan Masjid. Agung Palembang,ask_destination_info
Wisata cari tenang yang,ask_hidden_gems
Top 5 Palembang tourism recommendations,ask_recommendation
Cheap traveling by LRT where is it good to go?,ask_lrt_destinations
Yaudah makasih,goodbye
Tempat ikonik Palembang selain,ask_recommendation
Salam kenal,greet
Is visiting limit?,ask_operating_hours
Fasilitas mushola bersih?,ask_facilities
Going the city around by LRT I where should stop?,ask_lrt_destinations
Can cars pass through the road?,ask_location_access
Are there mat rental facilities?,ask_facilities
Tourist trending destinations now right,ask_recommendation
Punti Kayu.,ask_destination_info
Rute alternatif,ask_location_access
Thank you the,goodbye
Sore,greet
Masuk untuk tiket anak - berapa anak?,ask_ticket_price
"Oke terima kasih,",goodbye
Mampir kenapa harus ke Kambang? Iwak,ask_destination_info
Date any spot? recommendations,ask_recommendation
Time what it does on open weekends?,ask_operating_hours
Places near LRT stations,ask_lrt_destinations
Palembang LRT ticket price,ask_ticket_price
Nasional hari Punti libur Kayu tetep buka?,ask_operating_hours
Are there fun secret tourist places?,ask_hidden_gems
Naik transportasi apa ke sana?,ask_location_access
Must-visit places for tourists,ask_recommendation
Selamat siang,greet
There are available lockers luggage for?,ask_facilities
App the is smooth,provide_feedback
Berapa tempat ini?,ask_ticket_price
Spots suitable for people,ask_recommendation
Apakah SMB II?,ask_operating_hours
Area fasilitas di wisata alam,ask_facilities
LRT reach places,ask_lrt_destinations
Give me full info on the Jakabaring area,ask_destination_info
Places yet in not the guidebook tourism,ask_hidden_gems
Directions to Benteng Kuto Besak,ask_location_access
Is it far from Ampera?,ask_location_access
Tempat cari makan yang jual ayam cabe ijo,ask_category
Thanks the is useful,goodbye
Letaknya di daerah mana ya?,ask_location_access
Bisa keren ngenalin bahasa juga gaul,provide_feedback
Info jam buka Al-Qur'an Al-Akbar,ask_operating_hours
Spots categorized nature,ask_category
Of list places historical of worship,ask_category
Tempat makan siang yang enak,ask_category
Are places to Benteng Kuto Besak?,ask_facilities
Tourist suitable spots for people young,ask_recommendation
How much is the entrance ticket for Punti Kayu?,ask_ticket_price
Wisata yang kategori alam,ask_category
Kasih tau tentang saya Siguntang Bukit,ask_destination_info
List of athletic sports and spots tourist,ask_category
Opening of hours Sport Jakabaring City,ask_operating_hours
Very this AI chatbot,provide_feedback
Makasih ya banyak,goodbye
Daftar wisata LRT,ask_lrt_destinations
Shopping tourism near LRT stations,ask_lrt_destinations
Tolong share rute lokasi,ask_location_access
Tourist via LRT,ask_lrt_destinations
Greetings admin,greet
Halo sistem,greet
Ke mana akhir ya pekan enaknya ini?,ask_recommendation
Suka dengan fitur terjemahan bahasanya,provide_feedback
Jauh nggak jaraknya dari Ampera?,ask_location_access
What fun things can be done?,ask_destination_info
Park tourism Palembang,ask_category
Bagus lengkap aplikasinya informasinya,provide_feedback
Berikan tentang ulasan Kapitan Kampung,ask_destination_info
For looking a coffee shop a with vibe nature,ask_category
