text,label
Halo,greet
Hai,greet
Selamat pagi,greet
Selamat siang,greet
Selamat sore,greet
Selamat malam,greet
Ping,greet
P,greet
Assalamualaikum,greet
Halo bot,greet
Hai chatbot,greet
Permisi,greet
Test,greet
Hai Jelajahi,greet
Halo admin,greet
Ada orang?,greet
Bot,greet
Hi,greet
Pagi,greet
Siang,greet
Sore,greet
Malam,greet
Halo aplikasi,greet
Hai teman,greet
Salam kenal,greet
Bisa bantu saya?,greet
Halo ada yang bisa dibantu?,greet
Test bot,greet
Cek,greet
Hai aplikasi Jelajahi,greet
Haii,greet
Halooo,greet
Selamat datang,greet
Bot pariwisata,greet
Hai admin,greet
Woy,greet
Halo Palembang,greet
Hai bot Palembang,greet
Assalamualaikum admin,greet
Salam,greet
Syalom,greet
Om swastiastu,greet
Namo buddhaya,greet
Halo sistem,greet
Bot aktif?,greet
Halo aplikasi wisata,greet
Selamat pagi bot,greet
Selamat siang admin,greet
Hai program,greet
Halo AI,greet
Rekomendasikan tempat wisata di Palembang,ask_recommendation
Tempat yang wajib dikunjungi apa saja?,ask_recommendation
Ada rekomendasi destinasi buat keluarga?,ask_recommendation
Kasih rekomendasi tempat jalan-jalan yang bagus dong,ask_recommendation
Ke mana ya enaknya akhir pekan ini?,ask_recommendation
Rekomendasi liburan di Palembang,ask_recommendation
Tempat wisata paling hits di Palembang,ask_recommendation
Tujuan wisata yang lagi viral sekarang,ask_recommendation
Beri saya saran tempat wisata,ask_recommendation
Rekomendasi dong,ask_recommendation
Kasih tau tempat wisata terbaik,ask_recommendation
Kalau baru pertama ke Palembang bagusnya ke mana?,ask_recommendation
Rekomendasi tempat foto yang instagramable,ask_recommendation
Spot wisata yang paling populer,ask_recommendation
Tempat jalan-jalan sore yang asik,ask_recommendation
Rekomendasi destinasi dong bot,ask_recommendation
Bagusnya liburan ke mana ya di Palembang?,ask_recommendation
Tolong sarankan tempat wisata,ask_recommendation
Rekomendasi wisata Palembang terbaru,ask_recommendation
Tempat wisata yang lagi rame apa ya?,ask_recommendation
Cari tempat wisata buat akhir pekan,ask_recommendation
Ada saran tempat liburan?,ask_recommendation
Boleh minta rekomendasi wisata?,ask_recommendation
Tempat paling ikonik di Palembang selain Ampera,ask_recommendation
Rekomendasi tempat santai di Palembang,ask_recommendation
Kasih ide liburan dong,ask_recommendation
Bingung mau ke mana ada saran?,ask_recommendation
Rekomendasi tempat rekreasi,ask_recommendation
Destinasi wisata unggulan Kota Palembang,ask_recommendation
Tempat yang cocok buat healing,ask_recommendation
Cari tempat wisata yang sejuk,ask_recommendation
Rekomendasi tempat nongkrong yang asik,ask_recommendation
