text,label
Halo Rekomendasi hidden gems dong kak dong kak,ask_hidden_gems
Jelas banget penjelasannya,provide_feedback
Jelas bangt penjelasannya,provide_feedback
Mau tanya dong kak harga tiket Monpera,ask_ticket_price
Mau tanya dong kak hargo tiket Monpera,ask_ticket_price
Wisata sungai Palembang?,ask_category
Min Info wisata budaya Palembang dong sih,ask_category
Palembang Icon ada kantin gak?,ask_facilities
Min Facilities at Benteng Kuto Besak? nih,ask_facilities
Min Faclities at Benteng Kuto Besak? nih,ask_facilities
Bang Rekomendasi hidden gems dong kak,ask_hidden_gems
Bang Rekomendsi hidden gems dong kak,ask_hidden_gems
Maaf mau tanya Deskripsi Bukit Siguntang deh,ask_destination_info
Maaf mau tanya Oke cukup kak makasih banyak dong kak,goodbye
Eh Numpang tanya dong sih,greet
Eh Numpng tanya dong sh,greet
Kak PIM ada tempat parkir? ya,ask_facilities
Kak PIM ada tmpat parkir? ya,ask_facilities
Mau tau tentang Pasar 16 Ilir,ask_destination_info
Bang Hai kak masih aktif? dong,greet
Bang Hai kak masih aktif? dng,greet
Kak Info lengkap Punti Kayu dong dong kak,ask_destination_info
Mau nanya dong Mau tanya dong kak harga tiket Benteng Kuto Besak dong kak,ask_ticket_price
Mau nanya dong Mau tanya dong kak hargo tiket Benteng Kuto Besak dong kak,ask_ticket_price
Mau nanya dong Alternative tourist spots in Palembang? deh,ask_hidden_gems
Min Alternative tourist spots in Palembang? dong,ask_hidden_gems
Min Details about Kambang Iwak Park? ya,ask_destination_info
Permisi Food tourism in Palembang? deh,ask_category
Bang PIM ada tempat parkir? nih,ask_facilities
Maaf mau tanya Bye kak nih,goodbye
Benteng Kuto Besak buka jam berapa? dong,ask_operating_hours
Tanah Lot buka jam berapa? dong,ask_operating_hours
Bang Wisata apa yang recommended di Palembang?,ask_recommendation
Bang Wisata apo yang recommended di Palembang?,ask_recommendation
Bang BKB itu tempat apa sih? deh,ask_destination_info
Bang Ancol itu tempat apo sih? deh,ask_destination_info
Parkiran Kawah Tengkurep luas gak?,ask_facilities
Eh What time does Kampung Kapitan close? ya,ask_operating_hours
Eh What time does Mons close? yo,ask_operating_hours
"That's enough, thank you sih",goodbye
"That's enough, thank u sih",goodbye
Permisi Mau ke tempat bersejarah di Palembang nih,ask_category
Permisi Mau ka tempat bersejarah di Palembang nih,ask_category
Pulau Kemaro mulai buka jam berapa?,ask_operating_hours
Pulau Kemaro mulai buka jam brapa?,ask_operating_hours
Min Numpang tanya dong nih,greet
Halo Famous places in Palembang? deh,ask_recommendation
Halo Oke cukup kak makasih banyak nih,goodbye
Hal Oke cukup kak mkasih banyk nih,goodbye
Benteng Kuto Besak ada spot foto gak?,ask_facilities
Menara Eiffel ad spot foto gk?,ask_facilities
Masjid Cheng Ho ada spot foto gak? dong,ask_facilities
Eh Jam operasionalnya? dong kak,ask_operating_hours
h Jam operasionalnya? dong kk,ask_operating_hours
Min Makasih ya kak,goodbye
Min Makasih yo kak,goodbye
KI itu apa? deh,ask_destination_info
Bang Museum Balaputra Dewa fasilitasnya apa aja? ya kak,ask_facilities
Bang Museum Balaputra Dewa fasilitasnya apa aja? yo kak,ask_facilities
Min tolong saran wisata dong deh,ask_recommendation
Min tolong saran wisata dng deh,ask_recommendation
"Hello, What facilities are available at Jakabaring Sport City? please",ask_facilities
"Hello, What facilities r available at Jakabaring Sport City? please",ask_facilities
Maaf mau tanya Jelas banget penjelasannya nih,provide_feedback
Maaf mau tanya Jels banget pnjelasannya nih,provide_feedback
